JOB-TITLE,COMPANY,LOCATION,LINK
Senior Python Developer - Remote,"Nile Bits, LLC","6th of October, ",https://wuzzuf.net/jobs/p/F7XJZfMxh2me-Senior-Python-Developer---Remote-Nile-Bits-LLC-Giza-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Junior Full Stack Software Engineer ( Python - React ),JRM for Communications,"Nasr City, ",https://wuzzuf.net/jobs/p/ITaezijn1yin-Junior-Full-Stack-Software-Engineer-Python---React-JRM-for-Communications-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Backend Engineer - Python/Django,Paymob Solutions,"Maadi, ",https://wuzzuf.net/jobs/p/Tcg0N6scYDEk-Backend-Engineer---PythonDjango-Paymob-Solutions-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Trufla,"Heliopolis, ",https://wuzzuf.net/jobs/p/o1hH6mubtaOT-Python-Developer-Trufla-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,FlairsTech,"Maadi, ",https://wuzzuf.net/jobs/p/5Zoc70AbaMUb-Senior-Python-Developer-FlairsTech-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Python Developer (Odoo),2B,"Nasr City, ",https://wuzzuf.net/jobs/p/qUsnfsXYd18o-Python-Developer-Odoo-2B-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Python Programmer,Dumiah animation studio,"Maadi, ",https://wuzzuf.net/jobs/p/chjzKM9Mf4mG-Python-Programmer-Dumiah-animation-studio-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python Developer (Odoo Framework),VA,"Salmiya, ",https://wuzzuf.net/jobs/p/Iet0uNlLEwyx-Python-Developer-Odoo-Framework-VA-Salmiya-Kuwait?o=8&l=sp&t=sj&a=python|search-v3|hpb
Python Developer / REST API / Microservices - Ocucon Team (UK) - (Alexandria),Procrew,"Alexandria, ",https://wuzzuf.net/jobs/p/9FwMpzfLtufL-Python-Developer-REST-API-Microservices---Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Django Full Stack Developer,LINK Development,"Maadi, ",https://wuzzuf.net/jobs/p/YuLSMDJoCDJ6-Senior-Python-Django-Full-Stack-Developer-LINK-Development-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
Senior Software Engineer - Python\Django,Paymob Solutions,"Maadi, ",https://wuzzuf.net/jobs/p/PJpOR0VR3Waj-Senior-Software-Engineer---PythonDjango-Paymob-Solutions-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,EBE,"Dokki, ",https://wuzzuf.net/jobs/p/vvCKO4kLOle8-Python-Developer-EBE-Giza-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb
Backend Developer (Python) - Fully Remote,GIG Tech  ,"Cairo, ",https://wuzzuf.net/jobs/p/8IO3DQgaGIrg-Backend-Developer-Python---Fully-Remote-GIG-Tech-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,ExaServe LLC,"Nozha, ",https://wuzzuf.net/jobs/p/vSgUo8dOv6bY-Senior-Python-Developer-ExaServe-LLC-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb
Python (GCP AppEngine) Engineer,camelCase,"Mohandessin, ",https://wuzzuf.net/jobs/p/TcKtJ0ZFHMYY-Python-GCP-AppEngine-Engineer-camelCase-Giza-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb
